Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
A ,11,6,7,15,7,6,:,5,6,5,:,:,:,:,3,:,:,:,:,:
A.J. ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,3,:,:,:
AABAN ,9,20,13,19,11,10,5,7,3,:,:,:,:,:,:,:,:,:,:,:
AABID ,6,3,:,:,:,5,:,:,:,3,:,:,:,:,3,5,:,3,:,:
AADAM ,143,109,109,91,80,63,87,77,72,66,84,67,69,77,48,42,53,49,30,28
AADAN ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADARSH ,3,:,:,:,4,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
AADEN ,:,:,5,:,3,6,4,:,:,:,:,:,:,:,:,:,:,:,:,:
AADESH ,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHAM ,3,:,:,3,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
AADHAV ,4,:,3,7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHEEN ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHI ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHITHYA ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHVIK ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADI ,12,16,11,13,11,15,23,13,6,16,9,:,:,:,:,:,:,:,:,:
AADIDEV ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADIL ,17,23,16,16,28,20,16,19,32,30,39,35,28,34,34,32,39,32,23,28
AADIT ,3,:,4,10,3,5,11,4,5,:,:,:,:,:,:,:,:,:,:,:
AADITYA ,5,13,10,13,9,10,8,5,10,4,5,:,:,:,:,:,3,:,3,:
AADVIK ,8,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADYA ,:,:,:,3,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAHAAN ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAHAD ,:,:,3,:,:,:,:,3,:,:,:,5,3,:,:,:,:,:,:,:
AAHAN ,6,6,:,5,4,:,3,4,:,:,:,:,:,:,:,:,:,:,:,:
AAHIL ,92,83,56,58,34,40,27,22,9,4,9,7,:,:,:,:,:,:,:,:
AAJAY ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAKARSH ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AAKASH ,3,4,4,:,5,4,3,:,4,3,7,8,6,:,7,4,10,13,11,9
AAKIF ,7,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIM ,4,:,3,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAAN ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAN ,3,5,:,:,:,:,4,3,:,:,:,:,:,:,:,:,:,:,:,:
AAMAN ,:,:,:,:,:,:,:,3,3,:,:,3,:,:,:,:,:,:,4,3
AAMAR ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,3,:
AAMER ,:,:,:,:,:,4,3,:,:,:,3,:,:,4,:,:,:,:,:,:
AAMIL ,:,:,:,5,4,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AAMIR ,30,16,20,18,22,26,15,22,21,24,17,16,27,29,30,27,47,33,46,57
AANAV ,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AANAY ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AANIS ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
AAQIB ,3,:,9,9,9,5,5,12,4,12,10,6,9,12,5,4,5,:,7,6
AAQIL ,:,3,6,:,:,:,5,7,3,:,3,:,3,:,3,:,:,:,:,:
AARAIZ ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARAN ,20,31,28,10,16,15,23,18,20,13,19,18,23,31,20,21,22,25,34,21
AARAV ,167,170,169,127,120,108,87,31,24,22,14,:,5,:,:,:,:,:,:,:
AAREN ,4,:,3,:,:,5,:,5,3,3,:,:,:,:,:,:,4,:,:,:
AAREZ ,:,4,3,:,:,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:
AARIAN ,3,6,7,3,:,5,5,3,5,3,3,3,4,:,:,:,:,:,:,:
AARIB ,16,10,:,:,7,4,4,:,4,:,:,:,:,:,:,:,:,:,:,:
AARIC ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
AARIF ,:,5,:,:,:,:,:,:,4,:,3,:,:,:,:,:,3,:,4,3
AARIN ,5,9,:,3,3,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
AARIS ,:,:,:,:,4,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
AARISH ,10,:,:,:,9,6,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARIT ,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARIV ,7,4,6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARIYAN ,7,10,7,6,5,4,5,3,6,:,4,:,:,:,:,:,:,:,:,:
AARIZ ,52,64,45,39,47,32,25,26,17,8,5,5,:,:,:,:,:,:,:,:
AARNAV ,5,8,7,12,10,18,7,6,4,:,:,:,:,:,:,:,:,:,:,:
AARO ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARON ,773,819,778,959,1147,1326,1354,1362,1509,1620,1557,1720,1636,1902,1776,1969,2151,2512,2497,2511
AARONDEEP ,:,:,:,:,:,:,:,:,4,:,4,4,9,4,9,4,10,9,8,12
AARON-JAMES ,3,5,3,8,8,3,4,:,4,:,:,:,:,:,:,:,:,:,3,:
AARON-JAY ,4,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARONJIT ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
AARON-JOHN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARON-JUNIOR ,3,3,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARON-LEE ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,3,:,:
AARONVEER ,:,:,:,:,3,:,:,:,4,:,:,:,:,:,:,:,3,:,4,:
AAROON ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,3,3,:
