Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
AABIDAH ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AABISH ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHIRA ,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADHYA ,28,30,17,15,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADILA ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADITRI ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AADYA ,19,20,27,12,10,4,3,5,7,:,:,:,:,:,:,:,:,:,:,:
AAEESHA ,3,:,:,9,6,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAFIA ,10,5,6,10,10,9,:,5,3,:,3,:,:,:,:,:,:,:,:,:
AAFIYA ,10,6,3,:,:,4,:,:,3,:,:,:,:,:,:,:,:,:,:,:
AAFIYAH ,9,10,9,7,5,5,:,4,:,:,3,:,:,:,:,:,:,:,:,:
AAFREEN ,3,5,:,11,6,4,3,5,:,:,6,:,6,5,4,:,:,:,:,:
AAFRIN ,:,:,:,:,:,:,3,3,:,:,:,:,:,3,:,:,:,:,:,:
AAHANA ,4,6,3,9,7,10,7,4,4,:,:,:,:,:,:,:,:,:,:,:
AAHNA ,4,:,:,:,3,7,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAILA ,26,22,16,8,9,7,7,4,:,:,:,:,:,:,:,:,:,:,:,:
AAILYAH ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
AAIMA ,22,15,20,8,6,9,10,3,3,:,:,:,:,:,:,:,:,:,:,:
AAINA ,:,:,3,:,:,:,:,:,:,:,:,:,6,:,:,:,:,:,:,:
AAIRA ,22,33,22,6,10,8,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AAIRAH ,44,20,14,3,4,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:
AAISHA ,22,16,29,35,32,28,28,40,49,40,34,37,38,46,34,28,27,22,14,10
AA'ISHA ,:,:,:,3,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
AAISHAH ,9,22,14,14,15,16,7,13,14,9,12,16,15,13,9,6,8,6,13,6
AA'ISHAH ,:,:,:,:,:,:,:,3,4,:,:,:,:,5,:,:,3,:,3,:
AAIZA ,3,4,6,10,6,:,4,:,:,3,:,3,:,3,6,:,:,:,:,:
AAIZAH ,6,4,3,4,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAKIFA ,3,:,:,:,3,:,:,3,:,4,:,:,:,:,:,:,:,:,:,:
AAKIFAH ,8,5,7,7,6,5,9,9,7,8,11,11,12,13,10,8,4,7,4,:
AAKRITI ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALA ,3,10,4,:,5,4,:,4,:,3,:,:,:,5,:,:,:,3,:,:
AALAA ,:,:,:,:,4,5,:,:,3,:,:,:,:,:,:,:,:,:,:,:
AALAYA ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALAYAH ,8,7,11,9,5,4,:,5,:,:,:,4,3,:,:,:,:,:,:,:
AALEAH ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AALEEN ,:,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALEIGHA ,:,:,3,:,:,:,:,4,3,:,:,:,:,:,:,:,:,:,:,:
AALEYAH ,16,17,17,19,16,8,16,6,5,4,5,3,:,:,:,:,:,:,:,:
AALIA ,26,37,29,22,15,21,18,15,8,8,11,15,11,12,8,9,18,:,7,9
AALIAH ,:,3,3,:,5,3,5,13,7,18,15,17,20,16,16,6,9,3,3,:
AALIMAH ,4,4,:,3,3,:,:,5,3,:,:,:,:,:,:,:,:,:,:,:
AALISHA ,:,:,:,:,:,4,:,:,3,3,:,:,:,:,:,3,:,:,:,:
AALIYA ,28,42,29,35,27,38,25,26,24,25,31,40,28,33,25,20,10,9,11,11
AALIYAH ,426,446,463,454,501,443,417,422,379,487,426,488,531,533,230,147,70,112,128,111
AALIYAH-JADE ,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAH-LOUISE ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAH-MAE ,:,3,4,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAH-MAI ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAH-MARIE ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
AALIYAH-MAY ,3,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYAH-ROSE ,7,12,8,5,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALIYHA ,:,:,:,6,4,:,:,:,4,3,:,:,8,5,:,:,:,:,:,:
AALLIYAH ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AALYA ,:,4,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AALYAH ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
AALYIAH ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
AAMAL ,4,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAMANAH ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
AAMANEE ,4,:,:,:,6,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:
AAMANI ,:,:,:,4,:,3,4,6,:,7,3,:,3,:,:,:,:,:,:,:
AAMAYA ,4,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAMENA ,3,3,7,5,10,6,3,:,7,3,10,5,6,6,9,6,9,7,5,6
AAMENAH ,5,4,3,5,4,4,:,:,:,6,:,:,7,:,:,5,4,3,:,5
AAMILAH ,13,19,14,14,14,14,5,7,5,5,5,5,5,:,:,:,:,:,:,:
AAMINA ,59,42,63,54,67,67,76,60,69,57,70,53,47,43,41,28,26,27,20,14
AAMINAH ,129,132,136,120,123,116,97,91,82,69,62,54,67,57,35,46,36,24,23,17
AAMIRA ,13,6,15,8,19,16,3,5,4,:,4,3,:,:,:,3,3,:,3,:
AAMIRAH ,3,5,5,7,7,11,7,6,5,12,6,8,7,7,13,6,10,8,7,11
AAMIYAH ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAMNA ,10,15,18,18,22,27,30,35,27,32,24,13,19,18,18,17,10,14,17,10
AAMNAH ,:,3,:,6,3,:,5,8,4,5,:,4,4,7,:,4,3,:,:,:
AANA ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AANAYA ,3,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AANCHAL ,:,:,:,:,:,:,:,5,:,3,:,:,:,:,:,:,:,:,:,:
AANIA ,:,5,4,5,11,4,4,4,4,:,:,:,:,:,:,:,:,:,:,:
AANIKA ,3,3,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:
AANISAH ,:,3,:,3,:,5,:,:,:,:,:,:,3,3,4,8,8,4,6,12
AANISHA ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
AANIYA ,6,5,3,5,4,5,:,3,:,:,:,:,:,:,:,:,:,:,:,:
AANIYAH ,7,11,6,4,3,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
AANVI ,:,3,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AANYA ,72,49,48,49,71,57,27,41,20,20,11,10,10,12,8,5,:,:,3,:
AARA ,8,6,7,6,8,4,4,:,:,:,:,:,:,:,:,:,:,:,:,:
AARABI ,:,:,:,:,3,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:
AARADHYA ,23,18,19,11,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARALYN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARANI ,:,:,:,:,:,3,4,:,:,:,:,:,:,:,3,:,:,:,:,:
AARATHANA ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
