year,births,boys_to_1000_girls,,,
2015,"697,852","1,054",,,
2014,"695,233","1,054",,,
2013,"698,512","1,054",,,
2012,"729,674","1,054",,,
2011,"723,913","1,051",,,
2010,"723,165","1,053",,,
2009,"706,248","1,052",,,
2008,"708,711","1,050",,,
2007,"690,013","1,057",,,
2006,"669,601","1,047",,,
2005,"645,835","1,049",,,
2004,"639,721","1,054",,,
2003,"621,469","1,051",,,
2002,"596,122","1,055",,,
2001,"594,634","1,050",,,
2000,"604,441","1,050",,,
1999,"621,872","1,055",,,
1998,"635,901","1,051",,,
1997,"643,095","1,051",,,
1996,"649,485","1,055",,,
1995,"648,138","1,051",,,
1994,"664,726","1,055",,,
1993,"673,467","1,056",,,
1992,"689,656","1,053",,,
1991,"699,217","1,052",,,
1990,"706,140","1,048",,,
1989,"687,725","1,051",,,
1988,"693,577","1,048",,,
1987,"681,511","1,053",,,
1986,"661,018","1,052",,,
1985,"656,417","1,054",,,
1984,"636,818","1,049",,,
1983,"629,134","1,056",,,
1982,"625,931","1,055",,,
1981,"634,492","1,055",,,
1980,"656,234","1,049",,,
1979,"638,028","1,060",,,
1978,"596,418","1,061",,,
1977,"569,259","1,060",,,
1976,"584,270","1,058",,,
1975,"603,445","1,062",,,
1974,"639,885","1,061",,,
1973,"675,953","1,065",,,
1972,"725,440","1,064",,,
1971,"783,155","1,061",,,
1970,"784,486","1,058",,,
1969,"797,538","1,058",,,
1968,"819,272","1,058",,,
1967,"832,164","1,058",,,
1966,"849,823","1,060",,,
1965,"862,725","1,056",,,
1964,"875,972","1,062",,,
1963,"854,055","1,055",,,
1962,"838,736","1,060",,,
1961,"811,281","1,062",,,
1960,"785,005","1,061",,,
1959,"748,501","1,063",,,
1958,"740,715","1,059",,,
1957,"723,381","1,060",,,
1956,"700,335","1,057",,,
1955,"667,811","1,060",,,
1954,"673,651","1,059",,,
1953,"684,372","1,059",,,
1952,"673,735","1,055",,,
1951,"677,529","1,060",,,
1950,"697,097","1,060",,,
1949,"730,518","1,061",,,
1948,"775,306","1,061",,,
1947,"881,026","1,061",,,
1946,"820,719","1,060",,,
1945,"679,937","1,061",,,
1944,"751,478","1,065",,,
1943,"684,334","1,064",,,
1942,"651,503","1,063",,,
1941,"579,091","1,053",,,
1940,"590,120","1,053",,,
1939,"614,479","1,056",,,
1938,"621,204","1,051",,,
