year,male,female,total
1880,118399,97604,216003
1881,108282,98855,207137
1882,122031,115696,237727
1883,112478,120059,232537
1884,122739,137586,260325
1885,115946,141949,257895
1886,119042,153736,272778
1887,109315,155422,264737
1888,129905,189447,319352
1889,119034,189219,308253
1890,119701,201661,321362
1891,109267,196567,305834
1892,131453,224915,356368
1893,121040,225232,346272
1894,124894,235972,360866
1895,126644,247107,373751
1896,129072,251993,381065
1897,121943,248275,370218
1898,132105,274146,406251
1899,115195,247490,362685
1900,162140,317775,479915
1901,115595,254232,369827
1902,132749,280333,413082
1903,129326,278198,407524
1904,138508,292438,430946
1905,143244,309870,453114
1906,144070,313441,457511
1907,158588,337433,496021
1908,166372,354533,520905
1909,176868,368098,544966
1910,208524,419526,628050
1911,241392,441812,683204
1912,451456,586708,1038164
1913,536243,654904,1191147
1914,683321,796608,1479929
1915,880948,1023882,1904830
1916,923258,1085708,2008966
1917,959331,1123702,2083033
1918,1048689,1202363,2251052
1919,1015339,1174650,2189989
1920,1100869,1244038,2344907
1921,1137925,1279681,2417606
1922,1125316,1247531,2372847
1923,1132363,1252416,2384779
1924,1169028,1295716,2464744
1925,1151452,1263046,2414498
1926,1145465,1230117,2375582
1927,1161789,1236348,2398137
1928,1141098,1195385,2336483
1929,1107405,1157481,2264886
1930,1129373,1166344,2295717
1931,1069368,1103563,2172931
1932,1074167,1106167,2180334
1933,1019889,1045864,2065753
1934,1061656,1082174,2143830
1935,1069275,1086677,2155952
1936,1064111,1077429,2141540
1937,1093413,1101723,2195136
1938,1136223,1141329,2277552
1939,1133089,1133993,2267082
1940,1185984,1181212,2367196
1941,1254586,1245808,2500394
1942,1408028,1390365,2798393
1943,1454263,1435227,2889490
1944,1388905,1366429,2755334
1945,1371329,1346051,2717380
1946,1650135,1612831,3262966
1947,1857349,1817781,3675130
1948,1782570,1742587,3525157
1949,1801901,1755499,3557400
1950,1819993,1758923,3578916
1951,1910588,1846667,3757255
1952,1973397,1902145,3875542
1953,2001102,1929114,3930216
1954,2067882,1990632,4058514
1955,2088636,2004373,4093009
1956,2144680,2059330,4204010
1957,2187626,2097516,4285142
1958,2153177,2065011,4218188
1959,2166434,2078477,4244911
1960,2166091,2079930,4246021
1961,2155910,2076225,4232135
1962,2102338,2027018,4129356
1963,2065419,1987890,4053309
1964,2027616,1957182,3984798
1965,1895639,1827342,3722981
1966,1818163,1755555,3573718
1967,1780001,1716654,3496655
1968,1776423,1709480,3485903
1969,1830456,1762720,3593176
1970,1906003,1831956,3737959
1971,1818630,1752356,3570986
1972,1674919,1612524,3287443
1973,1614370,1554011,3168381
1974,1630935,1566158,3197093
1975,1623186,1560705,3183891
1976,1633331,1571901,3205232
1977,1709885,1644879,3354764
1978,1708989,1643759,3352748
1979,1791697,1723064,3514761
1980,1854692,1780228,3634920
1981,1862080,1788032,3650112
1982,1886704,1813716,3700420
1983,1862811,1789105,3651916
1984,1875736,1802581,3678317
1985,1923356,1845612,3768968
1986,1920483,1844734,3765217
1987,1949062,1873574,3822636
1988,2000862,1922263,3923125
1989,2095209,1991787,4086996
1990,2150863,2053702,4204565
1991,2118988,2032978,4151966
1992,2098423,2004166,4102589
1993,2064806,1971029,4035835
1994,2037777,1948875,3986652
1995,2010773,1921035,3931808
1996,2003109,1916678,3919787
1997,1997063,1908561,3905624
1998,2026806,1937701,3964507
1999,2037920,1945832,3983752
2000,2086976,1994461,4081437
2001,2066991,1979571,4046562
2002,2065175,1973556,4038731
2003,2099617,2004932,4104549
2004,2111689,2016063,4127752
2005,2125380,2027508,4152888
2006,2190066,2088261,4278327
2007,2212515,2113906,4326421
2008,2177409,2079948,4257357
2009,2117746,2021799,4139545
2010,2050778,1956853,4007631
2011,2026895,1933342,3960237
2012,2023569,1934051,3957620
2013,2013559,1920953,3934512
2014,2039794,1947553,3987347
2015,2026872,1935109,3961981
